hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap;rmse;r2;rmse_annuale
Pocenia zona industriale;Lignano_sabbiadoro;NA;NA;NA;NA;NA;NA;NA;NA
Lestizza;Talmassons;7826.887688268156;10;16;38.815711975097656;22.815711975097656;9.8;0.23;1.9
Rivolto;San_vito_al_tgl;NA;NA;NA;NA;NA;NA;NA;NA
Talmassons;Palazzolo_dello_stella;NA;NA;NA;NA;NA;NA;NA;NA
Pantianicco;Udine_s_o;NA;NA;NA;NA;NA;NA;NA;NA
Sant'andrat del cormor;Talmassons;3602.3633044799512;19;16;22.43624496459961;6.436244964599609;12;0.17;2.8
Torviscosa;Grado_mare;NA;NA;NA;NA;NA;NA;NA;NA
Trivignano udinese;Cervignano_del_friuli;NA;NA;NA;NA;NA;NA;NA;NA
Ialmicco sede protezione civile regionale;Talmassons;14144.229516186959;35;16;26.88026237487793;10.88026237487793;10.7;0.21;2.1
Pavia di udine;Talmassons;16362.222633506019;11;16;63.512428283691406;47.512428283691406;12.3;0.23;3.1
Ruda cimitero;Fossalon;13725.485475205933;13;0;8.37320327758789;8.37320327758789;11.5;0.19;1.7
Brazzano;Gradisca_dis;NA;NA;NA;NA;NA;NA;NA;NA
Grado sede g.i.t.;Boa_paloma;NA;NA;NA;NA;NA;NA;NA;NA
Fossalon bonifica vittoria;Fossalon;3643.4859838698753;18;0;-1;1;8.7;0.27;0.8
Trieste istituto nautico;Muggia;4222.026519175989;22;2;7.493386745452881;5.493386745452881;7.2;0.27;0.9
Muggia;Muggia;2012.7541650693324;0;2;0.8371971845626831;1.162802815437317;7.1;0.31;0.5
Gemona canciane;Gemona_del_friuli;NA;NA;NA;NA;NA;NA;NA;NA
San pelagio;Sgonico_zgonik;NA;NA;NA;NA;NA;NA;NA;NA
Prosecco eliporto;Sgonico_zgonik;NA;NA;NA;NA;NA;NA;NA;NA
Borgo grotta gigante;Sgonico_zgonik;NA;NA;NA;NA;NA;NA;NA;NA
