SiteID;SiteName;SiteCode;FullSiteCode;Elevation;State;County;Comments;Discharge.start;Discharge.end;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;Water_Level.start;Water_Level.end;Elevation_dem;Longitude;Latitude
1;Gorgazzo sorgente;A001;OD:A001;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1925;2012;77.04447937011719;12.4967;46.0399
2;Gorgazzo;A002;OD:A002;NA;NA;FVG;NA;NA;NA;1925;2011;NA;NA;NA;NA;NA;NA;77.04447937011719;12.495099999999999;46.038
3;Molinetto c/o impianto ittiogenico;A003;OD:A003;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1986;1990;98.460235595703125;12.475699999999998;46.01109999999999
4;Fiaschetti;A004;OD:A004;NA;NA;FVG;NA;NA;NA;1990;1992;NA;NA;NA;NA;1924;2012;25.647066116333008;12.482799999999997;45.98510000000001
5;Marsure bares;A007;OD:A007;NA;NA;FVG;NA;NA;NA;2007;2011;NA;NA;NA;NA;NA;NA;188.30410766601562;12.601;46.087299999999985
7;Val dei sass;A009;OD:A009;NA;NA;FVG;NA;NA;NA;2009;2011;2009;2011;NA;NA;NA;NA;1840.6885986328125;12.4919;46.1155
8;Sacile ponte lacchin;A021;OD:A021;NA;NA;FVG;NA;2007;2012;1917;2012;NA;NA;NA;NA;NA;NA;22.27758026123047;12.502;45.9509
9;Ponte della muda;A023;OD:A023;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1992;2012;42.66930389404297;12.446699999999998;45.947599999999994
10;Aviano;A050;OD:A050;NA;NA;FVG;NA;NA;NA;1917;2012;2009;2011;NA;NA;NA;NA;145.93150329589844;12.602600000000002;46.064800000000005
11;Aviano casa marchi;A051;OD:A051;NA;NA;FVG;NA;NA;NA;1958;2002;NA;NA;NA;NA;NA;NA;166.18336486816406;12.621999999999998;46.070699999999995
12;San cassiano;A100;OD:A100;NA;NA;FVG;NA;NA;NA;NA;NA;NA;NA;NA;NA;1915;2012;9.0826263427734375;12.534899999999999;45.876699999999985
