SiteID;SiteName;SiteCode;FullSiteCode;Elevation;State;County;Comments;Elevation_dem;Longitude;Latitude;codice
231;Casali petazzo;E013;OD:E013;NA;NA;FVG;NA;7.9478759765625;13.1051;45.8682;NA
232;Pocenia;E014;OD:E014;NA;NA;FVG;NA;5.05306339263916;13.086;45.8364;NA
233;Case trevisan;E015;OD:E015;NA;NA;FVG;NA;2.48335742950439;13.102;45.8136;NA
234;Casali gambellini;E016;OD:E016;NA;NA;FVG;NA;5.78319025039673;13.0943;45.8462;NA
235;Latisana crosere;E019;OD:E019;NA;NA;FVG;NA;1.52204668521881;13.0221;45.7865;NA
236;Rivarotta;E020;OD:E020;NA;NA;FVG;Serie HisCentral +Regione FVG;2.08233499526978;13.081;45.8193;PAL
237;Precenicco;E021;OD:E021;NA;NA;FVG;NA;1;13.0765;45.7873;NA
238;Pocenia zona industriale;E024;OD:E024;NA;NA;FVG;NA;5.95149660110474;13.1132;45.8332;NA
239;Palazzolo dello stella;E025;OD:E025;NA;NA;FVG;NA;1.36525237560272;13.0743;45.8033;NA
240;Casa di guardia;E033;OD:E033;NA;NA;FVG;NA;17.0489482879639;13.0859;45.9041;NA
241;San daniele del friuli;E200;OD:E200;NA;NA;FVG;NA;201.008483886719;13.014;46.1569;NA
242;San mauro;E201;OD:E201;NA;NA;FVG;NA;166.37451171875;13.0265;46.1469;NA
243;Codroipo;E202;OD:E202;NA;NA;FVG;Serie HisCentral +Regione FVG;42.4894256591797;12.9873;45.967;COD
244;Zompicchia;E203;OD:E203;NA;NA;FVG;NA;42.5237998962402;13.0016;45.9648;NA
245;Goricizza caserme;E206;OD:E206;NA;NA;FVG;NA;41.9110794067383;12.9761;45.9697;NA
246;Coseano;E207;OD:E207;NA;NA;FVG;NA;112.733963012695;13.0262;46.0851;NA
247;Codroipo ponte sp. 65;E208;OD:E208;NA;NA;FVG;NA;37.406135559082;12.9926;45.9566;NA
248;Molino vecchio;E400;OD:E400;NA;NA;FVG;NA;11.6745414733887;13.0511;45.8814;NA
249;Sivigliano;E401;OD:E401;NA;NA;FVG;NA;11.6745414733887;13.0534;45.882;NA
250;Turrida;E500;OD:E500;NA;NA;FVG;NA;73.5235977172852;12.9385;46.0262;NA
251;Flaibano;E501;OD:E501;NA;NA;FVG;NA;91.2201919555664;12.9817;46.0476;NA
252;Lestizza;E502;OD:E502;NA;NA;FVG;NA;38.8157119750977;13.1353;45.9512;NA
253;Villacaccia;E503;OD:E503;NA;NA;FVG;NA;46.6547012329102;13.0708;45.9723;NA
254;Villaorba;E504;OD:E504;NA;NA;FVG;NA;67.1820220947266;13.0686;46.0105;NA
255;San lorenzo di sedegliano;E505;OD:E505;NA;NA;FVG;NA;63.1023712158203;12.9991;46.0011;NA
256;Rivolto;E507;OD:E507;NA;NA;FVG;NA;37.3848304748535;13.0213;45.9544;NA
257;Talmassons;E509;OD:E509;NA;NA;FVG;NA;25.0506401062012;13.1159;45.9287;NA
258;Fagagna poliambulatorio;E512;OD:E512;NA;NA;FVG;NA;195.931625366211;13.098;46.1143;NA
259;Pantianicco;E513;OD:E513;NA;NA;FVG;NA;69.6799468994141;13.0393;46.0142;NA
260;Colloredo di prato;E514;OD:E514;NA;NA;FVG;NA;103.917938232422;13.1396;46.0572;NA
261;Casello f.s.;F001;OD:F001;NA;NA;FVG;NA;2.48335742950439;13.1036;45.8093;NA
262;Casa longo;F003;OD:F003;NA;NA;FVG;NA;2.48335742950439;13.1046;45.8084;NA
263;Zeglianutto;G001;OD:G001;NA;NA;FVG;NA;216.463714599609;13.1535;46.1961;NA
264;Collalto borgo di sotto;G002;OD:G002;NA;NA;FVG;NA;210.43830871582;13.2034;46.1922;NA
265;Colloredo di monte albano;G003;OD:G003;NA;NA;FVG;NA;178.789688110352;13.1458;46.1668;NA
