hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap;rmse;r2;rmse_annuale
Barcis ponte antoi;Barcis;641.4058611766943;12;468;470.39703369140625;2.39703369140625;3.8;0.96;2.4
Barcis stazione forestale;Barcis;566.9700031629878;19;468;448.18267822265625;19.81732177734375;2.9;0.97;1.9
Andreis piazzola campeggio;Barcis;3227.1501085986874;23;468;462.1297912597656;5.870208740234375;2.8;0.98;1.3
Ravedis invaso;Barcis;7022.246443202671;11;468;462.9981689453125;5.0018310546875;2.6;0.98;0.4
Pocenia zona industriale;Bicinicco;14505.455836770603;20;33;5.951496601104736;27.048503398895264;3.5;0.97;2.9
Lestizza;Bicinicco;8510.073408974296;8;33;38.815711975097656;5.815711975097656;4.2;0.97;3.5
Rivolto;Bicinicco;17221.45426025011;7;33;37.384830474853516;4.384830474853516;4.3;0.97;3.9
Talmassons;Bicinicco;9644.969980164538;10;33;25.050640106201172;7.949359893798828;4;0.97;3.2
Pantianicco;Bicinicco;18246.99241724815;5;33;69.67994689941406;36.67994689941406;3.5;0.97;2.9
Sant'andrat del cormor;Bicinicco;6275.178914228263;19;33;22.43624496459961;10.56375503540039;3.4;0.97;2.7
Torviscosa;Bicinicco;12541.781129455954;8;33;2.9870262145996094;30.01297378540039;3.7;0.97;2.8
Trivignano udinese;Bicinicco;8070.400546139974;14;33;41.905914306640625;8.905914306640625;3.2;0.98;3.2
Ialmicco sede protezione civile regionale;Bicinicco;7479.379319483388;35;33;26.88026237487793;6.11973762512207;3.7;0.97;3.1
Pavia di udine;Bicinicco;8267.291077613287;12;33;63.512428283691406;30.512428283691406;3.1;0.98;2.7
Ruda cimitero;Bicinicco;16677.407290597454;9;33;8.37320327758789;24.62679672241211;2.5;0.99;0.1
Brazzano;Bicinicco;17390.361877335086;7;33;70.73090362548828;37.73090362548828;3.7;0.97;3.1
Grado sede g.i.t.;Boa paloma;14785.833749642019;15;5;0.4218692481517792;4.578130751848221;2.4;0.99;1.1
Fossalon bonifica vittoria;Boa paloma;13947.652173534836;20;5;-1;6;3.4;0.99;1.9
Trieste istituto nautico;Boa paloma;15916.38861276438;21;5;7.493386745452881;2.493386745452881;2.5;0.99;1.3
Muggia;Boa paloma;16487.656463717714;9;5;0.8371971845626831;4.162802815437317;2.7;0.99;1.3
Gemona casa di riposo;Bordano;7579.2020665451955;18;230;251.9317626953125;21.9317626953125;3.2;0.98;2.1
Gemona canciane;Bordano;8595.593996366311;12;230;189.93775939941406;40.06224060058594;3.2;0.98;2.1
Alesso;Bordano;3280.852821520843;6;230;254.41456604003906;24.414566040039062;2.9;0.98;0.4
San pelagio;Borgo grotta gigante;8708.115121999415;16;275;234.58306884765625;40.41693115234375;2.9;0.98;2.4
Prosecco eliporto;Borgo grotta gigante;891.1069235504339;16;275;273.6768493652344;1.323150634765625;2.9;0.98;2.2
Borgo grotta gigante;Borgo grotta gigante;21.972617659566282;0;275;274.7296447753906;0.270355224609375;3.1;0.98;2.2
Trieste cattinara;Borgo grotta gigante;9812.908097335354;16;275;289.24932861328125;14.24932861328125;2.6;0.98;1.9
Pordenone localita' torre;Brugnera;11373.762475466518;21;22;29.147491455078125;7.147491455078125;2.3;0.99;1.1
Pordenone campo atletica;Brugnera;9313.27543513442;20;22;30.16668701171875;8.16668701171875;2.6;0.98;0.4
Porcia rondover;Brugnera;5382.732519192764;12;22;15.506112098693848;6.493887901306152;2.6;0.98;0
Cordenons acquedotto san giovanni;Brugnera;15754.22368306817;29;22;69.83683776855469;47.83683776855469;2.6;0.99;0.6
Zuiano;Brugnera;13946.469800728835;7;22;11.029081344604492;10.970918655395508;2.7;0.99;0.8
Trivignano udinese;Capriva del friuli;13412.854737850681;15;85;41.905914306640625;43.094085693359375;2;0.99;0.8
Lauzacco;Capriva del friuli;17959.268245413718;16;85;55.54144287109375;29.45855712890625;2.4;0.99;0.5
Pavia di udine;Capriva del friuli;17186.34112016322;11;85;63.512428283691406;21.487571716308594;2.7;0.98;0.2
Gorizia presa c.b.p.i.;Capriva del friuli;7022.145650572908;16;85;58.9251708984375;26.0748291015625;3;0.98;0.5
Orzano;Capriva del friuli;16615.36640333289;16;85;100.03337860107422;15.033378601074219;2.8;0.98;0.9
Cividale istituto agrario;Capriva del friuli;17061.47935943841;20;85;132.30323791503906;47.30323791503906;3;0.98;1.2
Albana;Capriva del friuli;10188.429459851473;17;85;134.72122192382812;49.721221923828125;2.8;0.98;1
Brazzano;Capriva del friuli;5024.200828180445;16;85;70.73090362548828;14.269096374511719;2.6;0.98;0.4
Capriva localita' la baita;Capriva del friuli;1256.760196728398;15;85;53.29371643066406;31.706283569335938;2.9;0.98;0.4
Gorizia aeroporto di merna;Capriva del friuli;8374.826046267868;20;85;58.04591369628906;26.954086303710938;2.8;0.98;0.9
Doberdo' centro visite gradina;Capriva del friuli;13090.259265643344;24;85;60.08134078979492;24.918659210205078;2.7;0.99;1.1
Malborghetto ponte per nebria;Cave del predil;12466.498122886745;21;914;895.99737548828125;18.00262451171875;3.3;0.96;1.9
Valico di fusine;Cave del predil;11235.496394430202;13;914;919.7122802734375;5.7122802734375;3.7;0.95;1.8
Pocenia zona industriale;Cervignano del friuli;17497.052611266867;18;8;5.951496601104736;2.0485033988952637;2.7;0.99;1.1
Lestizza;Cervignano del friuli;19327.138604404558;18;8;38.815711975097656;30.815711975097656;3.2;0.98;0.7
Talmassons;Cervignano del friuli;19306.935740703902;19;8;25.050640106201172;17.050640106201172;2.9;0.98;0.5
Sant'andrat del cormor;Cervignano del friuli;15397.47426279427;16;8;22.43624496459961;14.43624496459961;2.8;0.99;1.3
Torviscosa;Cervignano del friuli;5883.6170481986655;17;8;2.9870262145996094;5.012973785400391;3;0.98;1.5
Trivignano udinese;Cervignano del friuli;11074.323649479602;13;8;41.905914306640625;33.905914306640625;2;0.99;0.8
Lauzacco;Cervignano del friuli;14950.074451048631;20;8;55.54144287109375;47.54144287109375;2.2;0.99;0.4
Ialmicco sede protezione civile regionale;Cervignano del friuli;6872.984764789326;33;8;26.88026237487793;18.88026237487793;2.6;0.99;0.6
Grado sede g.i.t.;Cervignano del friuli;19763.64874979856;15;8;0.4218692481517792;7.578130751848221;2.6;0.99;1.3
Ruda cimitero;Cervignano del friuli;5560.490484738083;19;8;8.37320327758789;0.3732032775878906;2.6;0.99;0.7
Fossalon bonifica vittoria;Cervignano del friuli;17863.644608933322;22;8;-1;9;3.1;0.98;0.4
Capriva localita' la baita;Cervignano del friuli;17391.351971595846;20;8;53.29371643066406;45.29371643066406;2.9;0.98;0.3
Monfalcone piscina comunale;Cervignano del friuli;14798.518321704258;22;8;0.9136075377464294;7.086392462253571;2.5;0.98;0.2
