hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap;rmse;r2;rmse_annuale;associare
Barcis ponte antoi;Barcis;641.405861176694;12;468;470.397033691406;2.39703369140625;30.2;0.15;1011.9;1
Barcis stazione forestale;Barcis;566.970003162988;19;468;448.182678222656;19.8173217773438;21.2;0.31;170.1;0
Andreis piazzola campeggio;Barcis;3227.15010859869;23;468;462.129791259766;5.87020874023438;21;0.34;156.2;0
Castions di strada;Bicinicco;4436.07594361782;15;33;20.1417102813721;12.8582897186279;13;0.18;118.3;1
Alesso;Bordano;3280.85282152084;6;230;254.414566040039;24.4145660400391;21.3;0.37;344.1;1
Prosecco eliporto;Borgo grotta gigante;891.106923550434;16;275;273.676849365234;1.32315063476563;10.8;0.26;101.6;0
Borgo grotta gigante;Borgo grotta gigante;21.9726176595663;0;275;274.729644775391;0.270355224609375;11;0.27;33.7;1
Sacile ponte lacchin;Brugnera;4954.12947140159;17;22;22.2775802612305;0.277580261230469;9.2;0.34;72.4;1
Cormons;Capriva del friuli;3346.29669249069;16;85;79.207275390625;5.792724609375;12.3;0.2;136.9;1
Castions delle mure casali fabbrica;Cervignano del friuli;2120.26485086811;26;8;1.49435091018677;6.50564908981323;8.8;0.34;109.1;0
Cervignano;Cervignano del friuli;3706.55286308823;11;8;3.27102828025818;4.72897171974182;10.8;0.22;117.1;1
Ponte racli;Chievolis;1921.69391022962;9;345;358.574066162109;13.5740661621094;22.1;0.34;288.5;1
Cividale istituto agrario;Cividale del friuli;1814.43979634243;14;127;132.303237915039;5.30323791503906;11.5;0.27;83;1
Codroipo;Codroipo;2022.04625505186;0;37;42.4894256591797;5.48942565917969;10.1;0.24;66.1;1
Rivolto;Codroipo;1457.74650142788;6;37;37.3848304748535;0.384830474853516;10.3;0.28;80.7;0
Villa santina;Enemonzo;3865.35653519912;12;438;436.590850830078;1.40914916992188;16.9;0.22;305.8;1
Togliano;Faedis;3294.23113353407;7;158;157.202697753906;0.79730224609375;7.1;0.14;26.7;0
Ca' viola;Fossalon;4530.47302390229;8;0;-1;1;10.1;0.25;174.8;0
Grado valle cavarera;Fossalon;4410.24721010861;17;0;0.663459897041321;0.663459897041321;9.9;0.22;54.6;0
Fossalon bonifica vittoria;Fossalon;3643.48598386988;18;0;-1;1;8.7;0.27;85.5;1
Gemona canciane;Gemona del friuli;1196.53235396482;9;184;189.937759399414;5.93775939941406;14.8;0.31;74.7;1
Osoppo;Gemona del friuli;4805.80404808222;16;184;168.621078491211;15.3789215087891;14.6;0.29;449.9;0
Artegna;Gemona del friuli;3945.75497145301;16;184;198.693206787109;14.6932067871094;14.3;0.24;150.6;0
Magnano in riviera;Gemona del friuli;4763.98894146638;15;184;198.693206787109;14.6932067871094;13.8;0.34;215.9;0
Latisana;Gorgo;4510.09731240475;8;5;5.5133056640625;0.5133056640625;10.8;0.2;100.3;0
Lame di precenicco;Gorgo;4142.99950206362;16;5;0;5;11.6;0.22;111.9;0
Farra d'isonzo m. fortin;Gradisca d'is.;4575.64661958808;18;29;51.7179298400879;22.7179298400879;9.7;0.28;209.8;0
Gradisca d'isonzo;Gradisca d'is.;1326.18914076752;4;29;28.204963684082;0.795036315917969;10.4;0.14;166.2;1
Grado sede g.i.t.;Grado;19.1602648162175;12;5;0.421869248151779;4.57813075184822;8;0.22;156;1
Grado molo torpediniere;Grado;1136.51082514627;18;5;0.653648972511292;4.34635102748871;8.5;0.24;267.5;0
