hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap;rmse;r2;rmse_annuale;associare
Grado valle cavarera;Grado;2248.98224356393;15;5;0.663459897041321;4.33654010295868;8.4;0.23;314;0
Grado molo torpediniere;Grado-mare;1656.03809898686;15;0;0.653648972511292;0.653648972511292;10.4;0.16;61.5;0
Grado valle cavarera;Grado-mare;2444.43906968891;12;0;0.663459897041321;0.663459897041321;10.1;0.16;65.6;0
Risano case moschioni;Lauzacco;1665.82665323007;17;60;62.5455131530762;2.54551315307617;12.6;0.26;120.6;1
Pavia di udine;Lauzacco;2143.38379833597;12;60;63.5124282836914;3.51242828369141;12.5;0.27;62.7;0
Val lovato;Lignano sabbiadoro;4414.11175834519;14;7;-0.237509414553642;7.23750941455364;10;0.18;130.4;0
Lignano sabbiadoro;Lignano sabbiadoro;2647.27122027713;0;7;2.31620287895203;4.68379712104797;9.9;0.21;79.1;1
Alberoni idrovora sacchetti;Monfalcone;1848.3565088744;22;0;-0.00922922976315;0.00922922976315;10.3;0.31;105.8;1
Monfalcone piscina comunale;Monfalcone;2642.90066006446;17;0;0.913607537746429;0.913607537746429;13.8;0.19;69.4;0
Trieste istituto nautico;Muggia;4222.02651917599;22;2;7.49338674545288;5.49338674545288;7.2;0.27;48.1;0
Muggia;Muggia;2012.75416506933;0;2;0.837197184562683;1.16280281543732;7.1;0.31;23.4;0
Latisana crosere;Palazzolo dello stella;3192.77763650337;17;5;1.52204668521881;3.47795331478119;8.9;0.28;148.2;0
Rivarotta;Palazzolo dello stella;2677.56151672629;18;5;2.08233499526978;2.91766500473022;9.1;0.24;315.3;1
Pordenone localita' torre;Pordenone;1752.32621769479;16;23;29.1474914550781;6.14749145507813;10.4;0.29;339.6;1
Pordenone sede c.b.c.m.;Pordenone;2119.02841552406;14;23;25.9856376647949;2.98563766479492;11.3;0.2;188.6;0
Pordenone campo atletica;Pordenone;2507.26425993736;15;23;30.1666870117187;7.16668701171875;11.3;0.28;156.4;0
Cerneglons;Pradamano;1735.84514451925;8;91;91.3938293457031;0.393829345703125;12.4;0.32;83;1
Orzano;Pradamano;4679.34572210153;5;91;100.033378601074;9.03337860107422;12.9;0.27;139.4;0
Azzida;San pietro al natisone;759.079933701257;20;160;176.237686157227;16.2376861572266;12.7;0.37;102.9;1
San vito al tagliamento ospedale;San vito al tgl.;3563.08575496635;17;21;27.8097400665283;6.80974006652832;9.2;0.27;101.8;1
Prosecco eliporto;Sgonico-zgonik;4068.99907700332;13;268;273.676849365234;5.67684936523438;10.4;0.26;156.8;0
Borgo grotta gigante;Sgonico-zgonik;3628.60333967766;15;268;274.729644775391;6.72964477539063;10;0.29;146.1;0
Castions di strada;Talmassons;3917.30083764769;15;16;20.1417102813721;4.14171028137207;10.5;0.21;123.8;1
Cormor paradiso;Talmassons;373.450736896172;12;16;11.960711479187;4.03928852081299;10.4;0.2;275.8;0
Sant'andrat del cormor;Talmassons;3602.36330447995;19;16;22.4362449645996;6.43624496459961;12;0.17;105.4;0
Tarvisio;Tarvisio;1485.44428026524;0;794;788.601867675781;5.39813232421875;11.7;0.19;179.6;1
Trieste istituto nautico;Trieste molo f.lli bandiera;1003.77372184482;16;1;7.49338674545288;6.49338674545288;7.5;0.28;108.6;1
Udine castello;Udine s.o.;3393.03745830858;7;91;114.832023620605;23.8320236206055;10.8;0.27;195.5;1
Pasian di prato;Udine s.o.;4105.66583388035;12;91;101.916564941406;10.9165649414063;11.8;0.25;134.7;0
Basaldella di vivaro;Vivaro;2127.99757953292;15;142;141.309814453125;0.690185546875;11.3;0.33;108.7;1
Povoletto;Faedis;3592.84507020392;8;158;131.512878417969;26.4871215820312;12.6;0.3;4.6;1
