hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap;rmse;r2;rmse_annuale
Barcis ponte antoi;Barcis;641.4058611766943;12;468;470.39703369140625;2.39703369140625;30.2;0.15;1011.9
Barcis stazione forestale;Barcis;566.9700031629878;19;468;448.18267822265625;19.81732177734375;21.2;0.31;170.1
Andreis piazzola campeggio;Barcis;3227.1501085986874;23;468;462.1297912597656;5.870208740234375;21;0.34;156.2
Castions di strada;Bicinicco;4436.075943617817;15;33;20.14171028137207;12.85828971862793;13;0.18;118.3
Alesso;Bordano;3280.852821520843;6;230;254.41456604003906;24.414566040039062;21.3;0.37;344.1
Prosecco eliporto;Borgo grotta gigante;891.1069235504339;16;275;273.6768493652344;1.323150634765625;10.8;0.26;101.6
Borgo grotta gigante;Borgo grotta gigante;21.972617659566282;0;275;274.7296447753906;0.270355224609375;11;0.27;33.7
Sacile ponte lacchin;Brugnera;4954.129471401589;17;22;22.27758026123047;0.27758026123046875;9.2;0.34;72.4
Cormons;Capriva del friuli;3346.2966924906877;16;85;79.207275390625;5.792724609375;12.3;0.2;136.9
Castions delle mure casali fabbrica;Cervignano del friuli;2120.2648508681136;26;8;1.4943509101867676;6.505649089813232;8.8;0.34;109.1
Cervignano;Cervignano del friuli;3706.552863088229;11;8;3.2710282802581787;4.728971719741821;10.8;0.22;117.1
Ponte racli;Chievolis;1921.6939102296153;9;345;358.5740661621094;13.574066162109375;22.1;0.34;288.5
Cividale istituto agrario;Cividale del friuli;1814.4397963424344;14;127;132.30323791503906;5.3032379150390625;11.5;0.27;83
Codroipo;Codroipo;2022.0462550518578;0;37;42.48942565917969;5.4894256591796875;10.1;0.24;66.1
Rivolto;Codroipo;1457.7465014278753;6;37;37.384830474853516;0.3848304748535156;10.3;0.28;80.7
Villa santina;Enemonzo;3865.3565351991174;12;438;436.5908508300781;1.409149169921875;16.9;0.22;305.8
Togliano;Faedis;3294.2311335340714;7;158;157.20269775390625;0.79730224609375;7.1;0.14;26.7
Ca' viola;Fossalon;4530.47302390229;8;0;-1;1;10.1;0.25;174.8
Grado valle cavarera;Fossalon;4410.247210108607;17;0;0.6634598970413208;0.6634598970413208;9.9;0.22;54.6
Fossalon bonifica vittoria;Fossalon;3643.4859838698753;18;0;-1;1;8.7;0.27;85.5
