hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap;rmse;r2;rmse_annuale
Barcis ponte antoi;Barcis;641.4058611766943;12;468;470.39703369140625;2.39703369140625;3.8;0.96;2.4
Barcis stazione forestale;Barcis;566.9700031629878;19;468;448.18267822265625;19.81732177734375;2.9;0.97;1.9
Andreis piazzola campeggio;Barcis;3227.1501085986874;23;468;462.1297912597656;5.870208740234375;2.8;0.98;1.3
Alesso;Bordano;3280.852821520843;6;230;254.41456604003906;24.414566040039062;2.9;0.98;0.4
Prosecco eliporto;Borgo grotta gigante;891.1069235504339;16;275;273.6768493652344;1.323150634765625;2.9;0.98;2.2
Borgo grotta gigante;Borgo grotta gigante;21.972617659566282;0;275;274.7296447753906;0.270355224609375;3.1;0.98;2.2
Ponte racli;Chievolis;1921.6939102296153;9;345;358.5740661621094;13.574066162109375;3.5;0.97;2.3
Cividale istituto agrario;Cividale del friuli;1814.4397963424344;14;127;132.30323791503906;5.3032379150390625;2.8;0.98;1.4
Rivolto;Codroipo;1457.7465014278753;6;37;37.384830474853516;0.3848304748535156;2.8;0.98;0.6
Fossalon bonifica vittoria;Fossalon;3643.4859838698753;18;0;-1;1;3;0.98;0.7
Gemona canciane;Gemona del friuli;1196.532353964824;9;184;189.93775939941406;5.9377593994140625;2.6;0.99;1.6
Osoppo;Gemona del friuli;4805.804048082221;16;184;168.62107849121094;15.378921508789062;2.9;0.98;1.2
Latisana;Gorgo;4510.097312404747;8;5;5.5133056640625;0.5133056640625;2.3;0.99;0.1
Grado sede g.i.t.;Grado;19.16026481621751;12;5;0.4218692481517792;4.578130751848221;1.9;0.99;1
Grado sede g.i.t.;Grado-mare;589.7023954726923;11;0;0.4218692481517792;0.4218692481517792;3.4;0.99;2.9
Pavia di udine;Lauzacco;2143.3837983359685;12;60;63.512428283691406;3.5124282836914062;3.1;0.98;2.6
Lignano sabbiadoro;Lignano sabbiadoro;2647.271220277127;0;7;2.3162028789520264;4.683797121047974;3.3;0.98;1.4
Monfalcone piscina comunale;Monfalcone;2642.900660064465;17;0;0.9136075377464294;0.9136075377464294;2.6;0.98;0.7
Trieste istituto nautico;Muggia;4222.026519175989;22;2;7.493386745452881;5.493386745452881;2.2;0.99;1.1
Muggia;Muggia;2012.7541650693324;0;2;0.8371971845626831;1.162802815437317;2.3;0.99;1.2
Pordenone localita' torre;Pordenone;1752.326217694786;16;23;29.147491455078125;6.147491455078125;2.3;0.99;1.8
Pordenone campo atletica;Pordenone;2507.2642599373585;15;23;30.16668701171875;7.16668701171875;2.5;0.99;0.4
Orzano;Pradamano;4679.34572210153;5;91;100.03337860107422;9.033378601074219;3.5;0.97;3
Azzida;San pietro al natisone;759.0799337012566;20;160;176.23768615722656;16.237686157226562;4.1;0.97;3.3
Prosecco eliporto;Sgonico-zgonik;4068.999077003322;13;268;273.6768493652344;5.676849365234375;2.7;0.98;1
Borgo grotta gigante;Sgonico-zgonik;3628.6033396776634;15;268;274.7296447753906;6.729644775390625;2.7;0.98;0.5
Sant'andrat del cormor;Talmassons;3602.3633044799512;19;16;22.43624496459961;6.436244964599609;2.7;0.99;0.9
Tarvisio;Tarvisio;1485.444280265244;0;794;788.60186767578125;5.39813232421875;3.9;0.95;2.6
Trieste istituto nautico;Trieste molo f.lli bandiera;1003.773721844816;16;1;7.493386745452881;6.493386745452881;2.1;0.99;0.5
Udine castello;Udine s.o.;3393.0374583085813;7;91;114.83202362060547;23.83202362060547;2.8;0.98;1
Pasian di prato;Udine s.o.;4105.665833880354;12;91;101.91656494140625;10.91656494140625;2.8;0.98;0.5
Basaldella di vivaro;Vivaro;2127.9975795329215;15;142;141.309814453125;0.690185546875;2.8;0.99;0.4
