hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap;rmse;r2;rmse_annuale
Chievolis;Barcis;14216.281474580412;7;468;437.4690246582031;30.530975341796875;24.3;0.22;2.8
Barcis ponte antoi;Barcis;641.4058611766943;12;468;470.39703369140625;2.39703369140625;30.2;0.15;3.5
Barcis stazione forestale;Barcis;566.9700031629878;19;468;448.18267822265625;19.81732177734375;21.2;0.31;1.7
Andreis piazzola campeggio;Barcis;3227.1501085986874;23;468;462.1297912597656;5.870208740234375;21;0.34;1.7
Ravedis invaso;Barcis;7022.246443202671;11;468;462.9981689453125;5.0018310546875;20.2;0.43;4.1
Ariis centro e.t.p.;Bicinicco;13720.079613142927;16;33;10.054102897644043;22.945897102355957;12.1;0.22;3.4
Pocenia zona industriale;Bicinicco;14505.455836770603;20;33;5.951496601104736;27.048503398895264;11.7;0.23;3.4
Lestizza;Bicinicco;8510.073408974296;8;33;38.815711975097656;5.815711975097656;11.2;0.24;3.5
Rivolto;Bicinicco;17221.45426025011;7;33;37.384830474853516;4.384830474853516;11.9;0.24;3.4
Talmassons;Bicinicco;9644.969980164538;10;33;25.050640106201172;7.949359893798828;11.5;0.25;3.4
Pantianicco;Bicinicco;18246.99241724815;5;33;69.67994689941406;36.67994689941406;12.2;0.25;3.4
Mortegliano;Bicinicco;5127.093139092168;9;33;42.066070556640625;9.066070556640625;12.2;0.21;0.4
Castions di strada;Bicinicco;4436.075943617817;15;33;20.14171028137207;12.85828971862793;13;0.18;0.3
Sant'andrat del cormor;Bicinicco;6275.178914228263;19;33;22.43624496459961;10.56375503540039;12.5;0.2;3.4
Zavattina;Bicinicco;12290.547597960067;9;33;6.220213413238525;26.779786586761475;11.8;0.22;3.4
San giorgio di nogaro;Bicinicco;10267.381898488564;17;33;5.442806243896484;27.557193756103516;12.3;0.22;3.4
Planais;Bicinicco;17346.152773207883;8;33;-0.07753685861825943;33.07753685861826;11.9;0.21;0.6
Castions delle mure casali fabbrica;Bicinicco;11165.2183193362;31;33;1.4943509101867676;31.505649089813232;14.3;0.3;0.2
Torviscosa;Bicinicco;12541.781129455954;8;33;2.9870262145996094;30.01297378540039;12.2;0.24;3.4
Cervignano;Bicinicco;14777.15613130104;8;33;3.2710282802581787;29.72897171974182;11.7;0.2;3.8
Risano case moschioni;Bicinicco;6279.290056379369;16;33;62.54551315307617;29.545513153076172;12.2;0.24;1
Trivignano udinese;Bicinicco;8070.400546139974;14;33;41.905914306640625;8.905914306640625;16.4;0.13;2
Ialmicco sede protezione civile regionale;Bicinicco;7479.379319483388;35;33;26.88026237487793;6.11973762512207;12.9;0.23;3.2
Pavia di udine;Bicinicco;8267.291077613287;12;33;63.512428283691406;30.512428283691406;12.2;0.26;3.4
Marano lagunare colomba;Bicinicco;17495.835289252613;20;33;0;33;11.6;0.24;3.5
Ruda cimitero;Bicinicco;16677.407290597454;9;33;8.37320327758789;24.62679672241211;12.1;0.19;3.8
Manzano ponte case;Bicinicco;13643.505955174029;16;33;65.63212585449219;32.63212585449219;12.8;0.24;3.4
Brazzano;Bicinicco;17390.361877335086;7;33;70.73090362548828;37.73090362548828;12.6;0.24;3.4
Cormons;Bicinicco;18122.444430020354;9;33;79.207275390625;46.207275390625;12.9;0.23;0.6
Ca' viola;Boa paloma;18037.618105831654;7;5;-1;6;10.1;0.17;1.8
Grado sede g.i.t.;Boa paloma;14785.833749642019;15;5;0.4218692481517792;4.578130751848221;7.5;0.26;0.7
Grado molo torpediniere;Boa paloma;15894.852848281142;19;5;0.6536489725112915;4.3463510274887085;9.1;0.15;1.4
Grado valle cavarera;Boa paloma;13614.121008931621;15;5;0.6634598970413208;4.336540102958679;8.9;0.15;1.5
Fossalon bonifica vittoria;Boa paloma;13947.652173534836;20;5;-1;6;8.2;0.22;1.3
Alberoni idrovora sacchetti;Boa paloma;18215.541026173443;23;5;-0.009229229763150215;5.00922922976315;8.1;0.2;1.5
Trieste istituto nautico;Boa paloma;15916.38861276438;21;5;7.493386745452881;2.493386745452881;7.7;0.17;1.1
Muggia;Boa paloma;16487.656463717714;9;5;0.8371971845626831;4.162802815437317;7.8;0.11;1.2
Gemona casa di riposo;Bordano;7579.2020665451955;18;230;251.9317626953125;21.9317626953125;21.5;0.3;3.8
Gemona canciane;Bordano;8595.593996366311;12;230;189.93775939941406;40.06224060058594;21.3;0.3;3.9
Alesso;Bordano;3280.852821520843;6;230;254.41456604003906;24.414566040039062;21.3;0.37;3.2
Artegna;Bordano;12376.046887585839;6;230;198.69320678710938;31.306793212890625;21.2;0.22;3.3
Magnano in riviera;Bordano;13163.155415261443;15;230;198.69320678710938;31.306793212890625;21.3;0.3;4.3
Zeglianutto;Bordano;16195.040983364881;8;230;216.46371459960938;13.536285400390625;21.9;0.28;3.9
Collalto borgo di sotto;Bordano;18260.88287525791;19;230;210.4383087158203;19.561691284179688;22.1;0.25;4.4
Ciseriis;Bordano;16262.475414432074;8;230;268.62225341796875;38.62225341796875;22;0.26;2.7
Tarcento ponte per oltretorre;Bordano;16941.412618673967;26;230;251.6145782470703;21.614578247070312;21.2;0.34;5.2
San pelagio;Borgo grotta gigante;8708.115121999415;16;275;234.58306884765625;40.41693115234375;10.5;0.29;1.8
Prosecco eliporto;Borgo grotta gigante;891.1069235504339;16;275;273.6768493652344;1.323150634765625;10.8;0.26;1.8
Borgo grotta gigante;Borgo grotta gigante;21.972617659566282;0;275;274.7296447753906;0.270355224609375;11;0.27;1.8
Trieste cattinara;Borgo grotta gigante;9812.908097335354;16;275;289.24932861328125;14.24932861328125;10.9;0.2;1.9
Fiaschetti;Brugnera;8888.747412523266;9;22;25.647066116333008;3.647066116333008;8.8;0.38;0.1
Sacile ponte lacchin;Brugnera;4954.129471401589;17;22;22.27758026123047;0.27758026123046875;9.2;0.34;1.7
Pordenone localita' torre;Brugnera;11373.762475466518;21;22;29.147491455078125;7.147491455078125;9;0.31;0.7
Pordenone sede c.b.c.m.;Brugnera;10117.664783883965;20;22;25.985637664794922;3.985637664794922;10.5;0.22;0.5
Pordenone campo atletica;Brugnera;9313.27543513442;20;22;30.16668701171875;8.16668701171875;10.5;0.29;2.1
Visinale ponte ferro;Brugnera;5169.8865076018;17;22;12;10;8.2;0.24;1.3
Porcia rondover;Brugnera;5382.732519192764;12;22;15.506112098693848;6.493887901306152;10.6;0.34;3.7
Cordenons acquedotto san giovanni;Brugnera;15754.22368306817;29;22;69.83683776855469;47.83683776855469;11.3;0.31;3.2
Colesit;Brugnera;10528.74621777727;8;22;61.68111801147461;39.68111801147461;10.5;0.18;1.1
Villadolt;Brugnera;7044.913578894648;9;22;48.569671630859375;26.569671630859375;11;0.22;1
Vigonovo;Brugnera;7554.225176582344;7;22;38.288414001464844;16.288414001464844;15.7;0.14;4
Zuiano;Brugnera;13946.469800728835;7;22;11.029081344604492;10.970918655395508;10.2;0.26;2
Azzano decimo;Brugnera;13663.981087782788;11;22;13.677153587341309;8.322846412658691;9;0.28;0.2
Squarzare';Brugnera;9987.012526308883;8;22;9.371118545532227;12.628881454467773;11;0.25;3.2
Trivignano udinese;Capriva del friuli;13412.854737850681;15;85;41.905914306640625;43.094085693359375;13.1;0.16;0.8
Pavia di udine;Capriva del friuli;17186.34112016322;11;85;63.512428283691406;21.487571716308594;12.5;0.27;3.9
Gorizia presa c.b.p.i.;Capriva del friuli;7022.145650572908;16;85;58.9251708984375;26.0748291015625;12;0.21;1.9
Farra d'isonzo m. fortin;Capriva del friuli;5799.615615434158;19;85;51.71792984008789;33.28207015991211;10.1;0.26;2.6
Cerneglons;Capriva del friuli;18573.651060425345;15;85;91.393829345703125;6.393829345703125;11.3;0.26;2.5
Orzano;Capriva del friuli;16615.36640333289;16;85;100.03337860107422;15.033378601074219;12.4;0.24;3.5
Cividale istituto agrario;Capriva del friuli;17061.47935943841;20;85;132.30323791503906;47.30323791503906;12.3;0.23;1.9
Manzano ponte case;Capriva del friuli;10132.712293511688;16;85;65.63212585449219;19.367874145507812;10.9;0.28;2.6
