hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap;rmse;r2;rmse_annuale;associare
Barcis ponte antoi;Barcis;641.405861176694;12;468;470.397033691406;2.39703369140625;1.8;0.96;0.8;1
Barcis stazione forestale;Barcis;566.970003162988;19;468;448.182678222656;19.8173217773438;1.5;0.98;0.7;0
Andreis piazzola campeggio;Barcis;3227.15010859869;23;468;462.129791259766;5.87020874023438;1.9;0.96;0.7;0
Alesso;Bordano;3280.85282152084;6;230;254.414566040039;24.4145660400391;1.4;0.99;0.6;1
Prosecco eliporto;Borgo grotta gigante;891.106923550434;16;275;273.676849365234;1.32315063476563;1.7;0.98;0.8;0
Borgo grotta gigante;Borgo grotta gigante;21.9726176595663;0;275;274.729644775391;0.270355224609375;1.3;0.99;0.4;1
Ponte racli;Chievolis;1921.69391022962;9;345;358.574066162109;13.5740661621094;1.8;0.97;0.3;1
Cividale istituto agrario;Cividale del friuli;1814.43979634243;14;127;132.303237915039;5.30323791503906;1.3;0.99;0.2;1
Rivolto;Codroipo;1457.74650142788;6;37;37.3848304748535;0.384830474853516;2.3;0.97;1.5;0
Fossalon bonifica vittoria;Fossalon;3643.48598386988;18;0;-1;1;1.7;0.98;0.9;1
Gemona canciane;Gemona del friuli;1196.53235396482;9;184;189.937759399414;5.93775939941406;1.9;0.97;0.8;1
Osoppo;Gemona del friuli;4805.80404808222;16;184;168.621078491211;15.3789215087891;2.1;0.97;1.2;0
Latisana;Gorgo;4510.09731240475;8;5;5.5133056640625;0.5133056640625;1.9;0.98;1.2;0
Grado sede g.i.t.;Grado;19.1602648162175;12;5;0.421869248151779;4.57813075184822;0.6;1;0.1;1
Grado sede g.i.t.;Grado-mare;589.702395472692;11;0;0.421869248151779;0.421869248151779;1.3;1;0.8;0
Pavia di udine;Lauzacco;2143.38379833597;12;60;63.5124282836914;3.51242828369141;1.3;0.99;0.3;0
Lignano sabbiadoro;Lignano sabbiadoro;2647.27122027713;0;7;2.31620287895203;4.68379712104797;1.4;0.99;1;1
Monfalcone piscina comunale;Monfalcone;2642.90066006446;17;0;0.913607537746429;0.913607537746429;1.7;0.97;0.6;0
Trieste istituto nautico;Muggia;4222.02651917599;22;2;7.49338674545288;5.49338674545288;1.5;0.99;0.7;0
Muggia;Muggia;2012.75416506933;0;2;0.837197184562683;1.16280281543732;2.1;0.99;1.4;0
Pordenone localita' torre;Pordenone;1752.32621769479;16;23;29.1474914550781;6.14749145507813;2.5;0.97;1.8;1
Pordenone campo atletica;Pordenone;2507.26425993736;15;23;30.1666870117187;7.16668701171875;2.2;0.98;1.7;0
Orzano;Pradamano;4679.34572210153;5;91;100.033378601074;9.03337860107422;2.9;0.95;2.2;0
Azzida;San pietro al natisone;759.079933701257;20;160;176.237686157227;16.2376861572266;1.6;0.98;0.4;1
Prosecco eliporto;Sgonico-zgonik;4068.99907700332;13;268;273.676849365234;5.67684936523438;1.7;0.98;0.4;0
Borgo grotta gigante;Sgonico-zgonik;3628.60333967766;15;268;274.729644775391;6.72964477539063;1.6;0.98;0.2;0
Sant'andrat del cormor;Talmassons;3602.36330447995;19;16;22.4362449645996;6.43624496459961;2.4;0.97;1.9;0
Tarvisio;Tarvisio;1485.44428026524;0;794;788.601867675781;5.39813232421875;2.4;0.92;1.6;1
Trieste istituto nautico;Trieste molo f.lli bandiera;1003.77372184482;16;1;7.49338674545288;6.49338674545288;1.4;0.99;0.6;1
Udine castello;Udine s.o.;3393.03745830858;7;91;114.832023620605;23.8320236206055;2.6;0.97;1.8;1
Pasian di prato;Udine s.o.;4105.66583388035;12;91;101.916564941406;10.9165649414063;1.7;0.98;0.1;0
Basaldella di vivaro;Vivaro;2127.99757953292;15;142;141.309814453125;0.690185546875;1.3;0.99;0.2;0
Povoletto;Faedis;3592.84507020392;8;158;131.512878417969;26.4871215820312;1.9;0.98;0.9;0
